,ID,cities,city_lat,city_lon,felt_temp_j+1,felt_temp_j+2,felt_temp_j+3,felt_temp_j+4,felt_temp_j+5,felt_temp_j+6,felt_temp_j+7,felt_temp_avg,hotel_name,hotel_url,hotel_describe,hotel_ranking,hotel_city,hotel_lat,hotel_lon
0,1,Mont Saint Michel,48.6359541,-1.511459954959514,10.88,4.89,3.78,1.86,2.71,3.19,5.26,4.652857142857143,Le Lithana,https://www.booking.com/hotel/fr/le-lithana.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=b2754ee3b3f70158&srepoch=1641121991&from=searchresults#hotelTmpl,"Situé dans le centre-ville de Pontorson, l'hôtel Le Lithana se trouve à seulement 10 km au sud du célèbre Mont St-Michel. Il possède un restaurant avec terrasse et cour intérieure. ",7.3,Mont Saint Michel,48.55409667,-1.50062889
1,1,Mont Saint Michel,48.6359541,-1.511459954959514,10.88,4.89,3.78,1.86,2.71,3.19,5.26,4.652857142857143,Le Beauvoir,https://www.booking.com/hotel/fr/le-beauvoir-beauvoir.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=b2754ee3b3f70158&srepoch=1641121991&from=searchresults#hotelTmpl,Le Beauvoir est situé à 4 kilomètres du Mont-Saint-Michel et à 20 minutes en voiture de Cancale. Il dispose d'un parking privé gratuit et d'un restaurant. ,7.7,Mont Saint Michel,48.59771334,-1.51309848
2,1,Mont Saint Michel,48.6359541,-1.511459954959514,10.88,4.89,3.78,1.86,2.71,3.19,5.26,4.652857142857143,Hôtel Ariane & SPA,https://www.booking.com/hotel/fr/ariane-pontorson.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=b2754ee3b3f70158&srepoch=1641121991&from=searchresults#hotelTmpl,"Ce charmant hôtel est situé à la frontière entre la Bretagne et la Normandie, à seulement 5 minutes en voiture du Mont-Saint-Michel. ",7.6,Mont Saint Michel,48.55240292,-1.50712252
3,1,Mont Saint Michel,48.6359541,-1.511459954959514,10.88,4.89,3.78,1.86,2.71,3.19,5.26,4.652857142857143,"Manoir de la Roche Torin, The Originals Relais (Relais du Silence)",https://www.booking.com/hotel/fr/le-manoir-de-la-roche-torin.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=b2754ee3b3f70158&srepoch=1641121991&from=searchresults#hotelTmpl,"Situé à Courtils, à 10 km du Mont-Saint-Michel, le Manoir de la Roche Torin, The Originals Relais (Relais du Silence) Offrant une vue sur l'abbaye du Mont-Saint-Michel, il vous propose une connexion...",7.8,Mont Saint Michel,48.63727298,-1.42506182
4,1,Mont Saint Michel,48.6359541,-1.511459954959514,10.88,4.89,3.78,1.86,2.71,3.19,5.26,4.652857142857143,"The Originals Boutique, Hôtel Les Quatre Salines, Le Mont Saint-Michel Sud (Inter-Hotel)",https://www.booking.com/hotel/fr/lessalines.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=b2754ee3b3f70158&srepoch=1641121991&from=searchresults#hotelTmpl,"L'établissement The Originals Boutique, Hôtel Les Quatre Salines, Le Mont Saint-Michel Sud (Inter-Hotel) est situé à seulement 10 minutes de route du Mont-Saint-Michel et à 35 minutes en voiture de...",7.9,Mont Saint Michel,48.59640422,-1.58920348
5,1,Mont Saint Michel,48.6359541,-1.511459954959514,10.88,4.89,3.78,1.86,2.71,3.19,5.26,4.652857142857143,Apparthôtel Mont Saint Michel - Résidence Fleurdumont,https://www.booking.com/hotel/fr/residence-fleurdumont.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=b2754ee3b3f70158&srepoch=1641121991&from=searchresults#hotelTmpl,"La Résidence Fleurdumont vous propose un hébergement accueillant volontiers les animaux domestiques. Il est situé à Beauvoir, à 4,4 km de l’abbaye du Mont-Saint-Michel. ",8.0,Mont Saint Michel,48.59648217,-1.50314692
6,1,Mont Saint Michel,48.6359541,-1.511459954959514,10.88,4.89,3.78,1.86,2.71,3.19,5.26,4.652857142857143,Le Relais Montois,https://www.booking.com/hotel/fr/le-relais-montois.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=b2754ee3b3f70158&srepoch=1641121991&from=searchresults#hotelTmpl,"Situé à Pontorson, l'établissement Le Relais Montois dispose d'un restaurant et d'un bar. Un parking privé est disponible moyennant des frais supplémentaires. ",6.8,Mont Saint Michel,48.552497,-1.507376
7,1,Mont Saint Michel,48.6359541,-1.511459954959514,10.88,4.89,3.78,1.86,2.71,3.19,5.26,4.652857142857143,ibis Pontorson Baie Du Mont Saint Michel,https://www.booking.com/hotel/fr/ibis-pontorson-baie-du-mont-saint-michel.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=b2754ee3b3f70158&srepoch=1641121991&from=searchresults#hotelTmpl,"Doté d’un bar, d’un restaurant et d’une terrasse, l’ibis Pontorson Baie Du Mont Saint Michel propose des hébergements à Saint-Georges-de-Gréhaigne, à 10 km du Mont-Saint-Michel. ",8.3,Mont Saint Michel,48.571549,-1.543127
8,1,Mont Saint Michel,48.6359541,-1.511459954959514,10.88,4.89,3.78,1.86,2.71,3.19,5.26,4.652857142857143,Auberge de la Baie,https://www.booking.com/hotel/fr/auberge-de-la-baie.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=b2754ee3b3f70158&srepoch=1641121991&from=searchresults#hotelTmpl,"Situé dans la campagne normande, cet hôtel vous propose une connexion Wi-Fi gratuite et un restaurant doté d'une terrasse sur place. ",8.4,Mont Saint Michel,48.61599318,-1.48825318
9,1,Mont Saint Michel,48.6359541,-1.511459954959514,10.88,4.89,3.78,1.86,2.71,3.19,5.26,4.652857142857143,Best Western Hôtel Montgomery,https://www.booking.com/hotel/fr/montgomery.fr.html?label=fr-85Sbyi2evytni3mHZEi6UgS267492169156%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056586%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9Ye7BFAsTyVd6vvamF_no64o&sid=02b206a84eecccc147910770df8a2890&aid=376366&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=b2754ee3b3f70158&srepoch=1641121991&from=searchresults#hotelTmpl,"Situé à Pontorson, à 5 minutes de route du Mont-Saint-Michel, l'hôtel occupe un manoir du XVIe siècle. Le Best Western Hôtel Montgomery dispose d'un jardin et d'un parking privé payant. ",8.7,Mont Saint Michel,48.5529107,-1.51148379
